n,distribution,rand_mean,det_mean,rand_times,det_times
1000,random,0.0026768800104036926,0.0021040399791672827,0.002717;0.002609;0.002780;0.002495;0.002783,0.002037;0.002332;0.002090;0.001811;0.002250
1000,sorted,0.0029476800234988334,0.07040407997556031,0.002895;0.002365;0.004018;0.002433;0.003028,0.073763;0.065734;0.071914;0.077475;0.063135
1000,reversed,0.0027682999847456814,0.06768194001633673,0.003521;0.002342;0.002350;0.002390;0.003239,0.069150;0.061355;0.058990;0.066406;0.082509
1000,repeated,0.003996419999748468,0.0015076399547979235,0.004785;0.002576;0.004490;0.004349;0.003783,0.001031;0.001273;0.001529;0.002177;0.001528
2000,random,0.009017940028570592,0.005646919994615018,0.009905;0.008984;0.008227;0.008755;0.009218,0.007353;0.004580;0.007103;0.004613;0.004585
2000,sorted,0.0066433199914172295,0.27988018000032755,0.005317;0.005184;0.007589;0.008032;0.007094,0.264453;0.285623;0.254581;0.303679;0.291065
2000,reversed,0.00623914001043886,0.2743165399879217,0.008826;0.006863;0.005263;0.005054;0.005190,0.273553;0.271125;0.279642;0.276344;0.270919
2000,repeated,0.007892780005931854,0.0032549999887123704,0.008362;0.006023;0.009633;0.006633;0.008813,0.002500;0.002342;0.004871;0.003452;0.003110
5000,random,0.018320259964093567,0.013966239988803864,0.016653;0.017296;0.017237;0.023135;0.017281,0.018224;0.010647;0.012741;0.015969;0.012251
5000,sorted,0.015914740040898323,1.6215368199627846,0.015628;0.017499;0.014724;0.014351;0.017372,1.599127;1.538150;1.610068;1.669773;1.690567
5000,reversed,0.015524380025453866,1.8061559400288387,0.015273;0.014255;0.014220;0.013766;0.020108,1.688606;1.601760;1.684270;2.038911;2.017234
5000,repeated,0.0289138600230217,0.014157239999622106,0.027273;0.027639;0.028046;0.030910;0.030702,0.010732;0.013096;0.016331;0.014421;0.016207
10000,random,0.05638173997867853,0.043344819964841005,0.045153;0.070123;0.054205;0.055466;0.056961,0.041526;0.048490;0.047250;0.041154;0.038304
10000,sorted,0.04421153999865055,7.4563893399899825,0.053322;0.047204;0.045778;0.035486;0.039267,8.126476;8.386354;7.251688;7.030679;6.486749
10000,reversed,0.04120078000705689,6.896267679985613,0.050642;0.046943;0.046268;0.031727;0.030425,8.612813;7.211026;6.172841;6.254442;6.230217
10000,repeated,0.03995772004127503,0.018675140058621763,0.046383;0.041452;0.041612;0.035614;0.034727,0.019459;0.021363;0.018291;0.016355;0.017908
